,r_x,r_y,r_ang,id
0,16.5,4.4,-18.5,0
1,19.5,5.2,1.0999999999999943,0
2,19.5,4.5,6.5,0
3,12.4,15.9,107.3,1
4,20.4,28.9,355.8,2
5,19.5,7.3,27.900000000000006,0
6,26.7,27.4,354.6,2
7,15.6,2.7,-25.099999999999994,0
8,6.4,14.4,35.4,1
9,20.5,29.1,344.5,2
10,4.8,11.1,26.2,1
11,14.8,16.1,63.1,1
12,18.8,29.5,358.0,2
13,13.3,1.8,-29.700000000000003,0
14,2.6,11.6,14.3,1
15,19.0,27.7,357.0,2
16,18.5,3.6,-19.599999999999994,0
17,26.9,16.7,101.5,1
18,19.2,3.3,-19.5,0
19,31.6,26.2,355.9,2
20,24.4,28.9,352.9,2
21,17.9,1.9,-10.299999999999997,0
22,12.1,13.1,80.5,1
23,18.9,29.2,352.6,2
24,19.5,8.3,45.19999999999999,0
25,20.8,26.1,358.7,2
26,18.7,4.9,25.19999999999999,0
27,7.2,16.2,46.7,1
28,19.5,16.1,39.5,0
29,22.2,25.1,354.7,2
30,17.4,8.9,27.69999999999999,0
31,9.2,12.7,59.4,1
32,25.4,28.9,355.9,2
33,22.2,28.7,358.1,2
34,19.5,7.0,23.900000000000006,0
35,17.5,15.7,142.6,1
36,18.5,13.8,143.7,1
37,16.4,2.1,-22.599999999999994,0
38,4.8,13.5,25.3,1
39,24.6,26.8,354.9,2
40,18.1,5.1,1.7000000000000028,0
41,7.4,19.5,46.5,1
42,22.6,28.6,357.2,2
43,18.1,5.7,13.400000000000006,0
44,24.3,26.9,357.0,2
45,15.2,1.8,-21.5,0
46,20.6,21.8,358.2,2
47,11.9,15.0,64.9,1
48,19.5,8.7,-2.0,0
49,22.1,27.1,359.1,2
50,17.2,3.2,-4.599999999999994,0
51,35.1,32.0,356.7,2
52,15.6,2.8,-16.400000000000006,0
53,19.5,6.5,2.700000000000003,0
54,34.4,29.5,356.7,2
55,16.1,3.0,-20.299999999999997,0
56,26.8,28.7,355.9,2
57,15.1,5.2,-2.0,0
58,3.5,12.7,18.3,1
59,25.9,30.0,355.2,2
60,18.3,2.4,-17.299999999999997,0
61,14.6,19.5,120.9,1
62,19.8,14.1,198.1,1
63,21.8,27.5,357.3,2
64,19.5,5.2,22.599999999999994,0
65,28.7,19.5,134.3,1
66,25.6,27.4,352.9,2
67,19.5,9.8,26.099999999999994,0
68,4.8,14.3,29.5,1
69,26.3,30.1,355.6,2
70,10.4,17.2,107.5,1
71,20.4,27.2,354.5,2
72,20.3,25.5,354.5,2
73,16.2,3.7,-5.5,0
74,12.0,15.9,101.2,1
75,21.9,29.8,356.2,2
76,18.8,5.4,-1.7000000000000028,0
77,11.9,15.8,93.7,1
78,21.2,29.8,356.6,2
79,19.5,28.8,33.099999999999994,0
80,9.7,14.8,67.4,1
81,19.6,30.1,358.2,2
82,14.8,3.8,-20.200000000000003,0
83,13.4,2.6,-19.900000000000006,0
84,7.6,12.7,44.9,1
85,20.9,28.5,357.7,2
86,17.5,9.9,0.5,0
87,19.2,17.7,93.1,1
88,19.5,4.4,-6.799999999999997,0
89,12.8,19.5,135.4,1
90,21.3,28.6,358.7,2
91,18.9,4.1,-4.200000000000003,0
92,8.5,14.7,69.8,1
93,6.5,11.8,39.4,1
94,16.1,11.1,115.0,1
95,19.5,6.2,49.5,0
96,8.5,13.6,54.4,1
97,31.3,33.6,359.6,2
98,18.6,3.1,-8.200000000000003,0
99,24.5,30.1,358.1,2
100,19.5,3.8,4.099999999999994,0
101,3.6,15.4,22.3,1
102,27.5,26.6,359.1,2
103,2.2,14.1,13.3,1
104,23.4,27.6,355.6,2
105,7.5,17.0,33.0,1
106,18.9,7.2,18.900000000000006,0
107,2.5,16.0,14.6,1
108,21.9,30.0,354.4,2
109,19.5,6.7,29.69999999999999,0
110,17.1,4.2,-1.0999999999999943,0
111,32.9,27.2,358.9,2
112,19.4,2.2,-2.799999999999997,0
113,17.9,3.2,-12.400000000000006,0
114,8.9,14.2,68.6,1
115,19.2,3.3,-0.7000000000000028,0
116,13.6,17.1,121.8,1
117,36.6,37.4,357.5,2
118,19.1,6.7,49.0,0
119,28.9,29.8,359.0,2
120,3.2,17.2,18.5,1
121,20.9,7.6,196.3,0
122,24.2,28.2,359.8,2
123,19.1,3.3,13.699999999999989,0
124,26.8,27.4,355.7,2
125,20.5,21.8,358.7,2
126,19.5,5.1,0.9000000000000057,0
127,18.9,25.1,359.5,2
128,7.9,13.9,50.1,1
129,34.4,29.8,356.2,2
130,14.4,4.4,-18.700000000000003,0
131,29.3,30.0,354.3,2
132,23.5,24.2,358.0,2
133,23.3,26.9,356.8,2
134,19.5,12.3,30.599999999999994,0
135,8.0,11.0,48.2,1
136,19.5,11.9,23.69999999999999,0
137,14.4,12.5,102.6,1
138,24.0,23.4,356.4,2
139,19.5,12.9,33.5,0
140,39.1,34.6,347.4,2
141,18.6,5.3,-14.299999999999997,0
142,12.6,12.7,84.8,1
143,8.3,12.5,51.5,1
144,23.9,30.2,355.8,2
145,18.7,12.2,188.0,1
146,31.3,34.7,357.2,2
147,16.8,4.6,-17.099999999999994,0
148,8.1,11.8,48.4,1
149,17.8,11.6,-14.400000000000006,0
150,8.4,12.3,48.0,1
151,26.2,29.5,354.2,2
152,19.5,9.3,44.0,0
153,14.8,12.3,106.2,1
154,38.8,35.1,357.2,2
155,16.8,4.6,-19.5,0
156,7.0,11.9,43.6,1
157,22.0,32.4,357.6,2
158,30.2,28.2,355.8,2
159,19.5,6.8,15.0,0
160,10.7,15.5,86.3,1
161,18.1,4.6,-20.299999999999997,0
162,17.6,16.4,174.5,1
163,11.9,13.3,87.2,1
164,21.1,27.2,359.7,2
165,17.2,4.8,5.700000000000003,0
166,18.4,13.8,164.6,1
167,29.7,30.3,359.1,2
168,19.2,8.3,6.599999999999994,0
169,19.3,2.8,-3.299999999999997,0
170,10.1,17.2,101.7,1
171,33.1,31.5,358.3,2
172,17.9,5.9,-2.799999999999997,0
173,15.2,12.4,121.7,1
174,20.7,29.5,359.8,2
175,17.1,1.8,-19.099999999999994,0
176,9.0,11.7,54.1,1
177,19.7,26.5,357.2,2
178,19.2,11.8,151.4,1
179,9.7,13.2,65.5,1
180,22.9,27.6,359.6,2
181,19.4,11.6,7.700000000000003,0
182,18.3,14.9,147.9,1
183,39.1,31.8,358.5,2
184,16.1,7.7,-5.099999999999994,0
185,27.9,15.5,161.3,1
186,21.2,21.6,359.3,2
187,30.8,27.2,354.6,2
188,17.1,4.1,-13.400000000000006,0
189,14.0,13.2,92.6,1
190,18.0,3.4,-16.799999999999997,0
191,12.7,13.2,88.9,1
192,19.0,5.7,1.7999999999999972,0
193,19.0,13.3,199.5,1
194,23.3,25.8,342.8,2
195,6.7,12.6,44.0,1
